nm_logradouro,nu_logradouro,cd_cep,nm_bairro,nm_municipio,sg_uf,vl_latitude,vl_longitude,pk_localizacao
TRAVESSA DOUTOR AIRTON JUNIOR,43,60830516,JOSE DE ALENCAR,FORTALEZA,CE,"-3,8164385","-38,4726877",18743
AVENIDA ARAGUAIA,1134,76335000,VALE DO SOL,URUANA,GO,"-15,5030497","-49,6828853",18744
RODOVIA RS 126,SN,95305000,INTERIOR,IBIRAIARAS,RS,"-28,3708909","-51,6380193",18745
RUA OTACILIO NEGRAO DE LIMA,476,37200000,CENTRO,LAVRAS,MG,"-21,2540337","-44,9999164",18746
RESIDENCIAL RUA GERONIMO DE ANDRADE,516,18870000,VILA ESPERANCA,FARTURA,SP,"-23,3887976","-49,5089871",18748
RUA DOS PROFESSORES,331,09172260,JARDIM SANTA CRISTINA,SANTO ANDRE,SP,"-23,6991224","-46,5132078",18749
RUA ANTONIO DE MATOS,55,35680030,CENTRO,ITAUNA,MG,"-20,0740856","-44,5757459",18750
AVENIDA ASSIS BRASIL,6978,91140000,CRISTO REDENTOR,PORTO ALEGRE,RS,"-29,990902","-51,1262413",18752
AVENIDA JOAO PAULO I,441,12227788,JD SATELITE,SAO JOSE DOS CAMPOS,SP,"-23,2283998","-45,8794952",18753
RUA VISCONDE DE PIRAJA,437,22410003,IPANEMA,RIO DE JANEIRO,RJ,"-22,9841779","-43,2082505",18754
RUA EDGAR A DE FIGUEIREDO,250,06753420,JARDIM TRIANON,TABOAO DA SERRA,SP,"-23,6302855","-46,794409",18756
RUA PROFESSOR PIRES GAYOSO,301,64046350,NOIVOS,TERESINA,PI,"-5,083837","-42,778203",18757
PRACA XAVIER,15,28470000,SAO FELIX,SANTO ANTONIO DE PADUA,RJ,"-21,5431754","-42,1818639",18758
RUA DO TANQUE,610,95300000,CENTRO,LAGOA VERMELHA,RS,"-28,2064835","-51,5283406",18759
RUA TAIM,116,94070310,LOTEAMENTO VILA RICA,GRAVATAI,RS,"-29,9464701","-51,0679855",18761
AVENIDA PRESIDENTE VARGAS,483,97015512,NOSSA SENHORA DE FATIMA,SANTA MARIA,RS,"-29,7000089","-53,8237178",18762
RUA PARAUNA,660,35930457,CENTRO INDUSTRIAL,JOAO MONLEVADE,MG,"-19,8092244","-43,1737278",18764
RUA DOS COQUEIROS,57,02312010,VILA NOVA MAZZEI,SAO PAULO,SP,"-23,4672216","-46,5958447",18766
AVENIDA DOUTOR J DE B VASCONCELOS,1211,61901410,PAJUCARA,MARACANAU,CE,"-3,8674127","-38,6261113",18768
RUA BENJAMIN CONSTANT,295,08674011,CENTRO,SUZANO,SP,"-23,5368459","-46,309953",18769
RUA RICARTE NORMAND,80,35700201,SAO GERALDO,SETE LAGOAS,MG,"-19,45738","-44,2416695",18771
AVENIDA PROFESSOR MANOEL JOSE PEDROSO,209,06717100,PARQUE BAHIA,COTIA,SP,"-23,6077764","-46,9237478",18772
AVENIDA DAS CEREJEIRAS,1719,02124002,JARDIM JAPAO,SAO PAULO,SP,"-23,5025558","-46,5766146",18773
RUA 24 DE SETEMBRO,316,88400000,CENTRO,ITUPORANGA,SC,"-27,4245828","-49,6013441",18775
TRAVESSA TOMAS PRADO,2,03622070,VILA GRANADA,SAO PAULO,SP,"-23,5210566","-46,5188981",18777
RUA FERREIRA PENTEADO,1106,13010041,CENTRO,CAMPINAS,SP,"-22,904884","-47,0549734",18779
RUA IEDA,169,25964390,TIJUCA,TERESOPOLIS,RJ,"-22,4173507","-42,95681",18781
RUA WASHINGTON LUIZ,184,95913196,SAO CRISTOVAO,LAJEADO,RS,"-29,447686","-51,9620627",18783
RUA ALTO DO BONFIM,328,04382070,CONJUNTO RESIDENCIAL JARDIM CANAA,SAO PAULO,SP,"-23,6533492","-46,6618655",18785
AVENIDA GETULIO VARGAS,106,29240000,CENTRO,ALFREDO CHAVES,ES,"-20,6404156","-40,7462852",18787
RUA REGENTE FEIJO,429,13013050,CENTRO,CAMPINAS,SP,"-22,9103168","-47,0577887",18789
RUA MAXIMIANO SANTIN,73,13525000,CENTRO,AGUAS DE SAO PEDRO,SP,"-22,5993429","-47,8740648",18791
RUA JULIO DE CASTILHOS,1125,95260000,NOVA ROMA DO SUL,NOVA ROMA DO SUL,RS,"-28,9866654","-51,4063049",18793
RODOVIA BR 116,SN,83870000,ESPIRITO SANTO,CAMPO DO TENENTE,PR,"-25,9836816","-49,6815816",18794
RUA PIAUI,174,91030320,SANTA MARIA GORETTI,PORTO ALEGRE,RS,"-30,006564","-51,1752998",18795
AVENIDA PARAGUASSU,2909,95555000,CENTRO,CAPAO DA CANOA,RS,"-29,755588","-50,042204",18797
TRAVESSA MONSENHOR LEONIDAS,58,37002120,CENTRO,VARGINHA,MG,"-21,5567086","-45,4371482",18798
ESTRADA DE IGUACU,51,26210000,MIGUEL COUTO,NOVA IGUACU,RJ,"-22,7089909","-43,4289744",18800
RUA NICARAGUA,66,18025730,VILA BARCELONA,SOROCABA,SP,"-23,5183199","-47,4403684",18802
AVENIDA CARDOSO MOREIRA,533,28300970,CENTRO,ITAPERUNA,RJ,"-21,2058415","-41,89015",18804
RUA DOS TIMBIRAS,1504,30140061,LOURDES,BELO HORIZONTE,MG,"-19,9272722","-43,9372384",18806
AVENIDA BELO HORIZONTE,227,35181619,CACHOEIRA DO VALE,TIMOTEO,MG,"-19,5313291","-42,6666273",18808
RUA PITEIRAS,SN,39560000,SANTA CRUZ,SALINAS,MG,"-16,167456","-42,2978984",18809
AVENIDA YARA,668,06028105,VILA YARA,OSASCO,SP,"-23,5490773","-46,767948",18810
RUA JOAO PESSOA,98,09520010,CENTRO,SAO CAETANO DO SUL,SP,"-23,6119196","-46,5704816",18812
RUA MARIA PAULA,122,01000000,BELA VISTA,SAO PAULO,SP,"-23,5520119","-46,6386872",18813
RUA PASSOS OURIQUE,227,03313060,TATUAPE,SAO PAULO,SP,"-23,5491597","-46,5551284",18814
RUA SOLIDONIO LEITE,1599,03275000,VILA IVONE,SAO PAULO,SP,"-23,5833375","-46,5431956",18816
RUA PELOTAS,83,04012000,VILA MARIANA,SAO PAULO,SP,"-23,5814052","-46,6434422",18818
ALAMEDA DOUTOR SILVIO DE CAMPOS,148,04416250,JARDIM MIRIAM,SAO PAULO,SP,"-23,6792371","-46,638027",18820
AVENIDA YERVANT KISSAJIKIAN,3854,04428000,VILA JOANIZA,SAO PAULO,SP,"-23,6852588","-46,646521",18821
RUA CONEGO SANTANA,312,31130450,CACHOEIRINHA,BELO HORIZONTE,MG,"-19,8797313","-43,9442866",18822
AVENIDA GETULIO VARGAS,72,39800015,CENTRO,TEOFILO OTONI,MG,"-17,8685086","-41,5078729",18823
AVENIDA AMALIA BRASIL,101,63503200,VILA NEUMA,IGUATU,CE,"-6,372141","-39,2902915",18825
LOCALIDADE FAZENDA SAMAMBAIA,SN,16370000,SAMAMBAIA,PROMISSAO,SP,"-21,5354088","-49,8569266",18827
LARGO HUGOLINO ANDRADE,82,97573000,CENTRO,SANTANA DO LIVRAMENTO,RS,"-30,8960846","-55,5339054",18828
TRAVESSA MASSIS,15,08210040,VILA BRASILINA,SAO PAULO,SP,"-23,5169007","-46,6465939",18829
AVENIDA FRANCISCO GENEROSO DA FONSECA,222,29060140,JARDIM DA PENHA,VITORIA,ES,"-20,2855489","-40,2985004",18831
TREVO FERDINAN,SN,65145000,CENTRO,SANTA RITA,MA,"-3,1427814","-44,3214702",18833
AVENIDA ADELIA CALEFFI GERBI,796,13847176,ESTIVA,MOGI GUACU,SP,"-22,3708462","-46,9378434",18834
ESTRADA DE IPANEMA,SN,18190000,BAIRRO ARACOIABINHA,ARACOIABA DA SERRA,SP,"-23,5031194","-47,57387",18836
PRAI DO CAJU,459,20931340,CAJU,RIO DE JANEIRO,RJ,"-22,878432","-43,2119378",18838
RUA ARTUR BERNARDES,47,36570000,CENTRO,VICOSA,MG,"-20,7549777","-42,8790383",18840
RUA DAS PALMEIRAS,6,09973230,ELDORADO,DIADEMA,SP,"-23,7189481","-46,6173784",18841
RUA SAO,800,75690000,NOVA VILA,CALDAS NOVAS,GO,"-17,7445191","-48,6250248",18843
RUA DOMINGOS PRETTI,90,08070250,PARQUE CRUZEIRO DO SUL,SAO PAULO,SP,"-23,4962515","-46,4616328",18844
RUA DUQUE DE CAXIAS,86A,13820000,JARDIM SONIA,JAGUARIUNA,SP,"-22,6986049","-46,9896756",18846
FAZENDA CACHOEIRA,SN,55550000,PRIMEIRO DISTRITO,AGUA PRETA,PE,"-8,7081827","-35,5216105",18847
RUA DOS FUNCIONARIOS,313,94480755,TARUMA,VIAMAO,RS,"-30,088358","-51,0237895",18849
AVENIDA COSTA E SILVA,2430,85863000,PARQUE PRESIDENTE,FOZ DO IGUACU,PR,"-25,5223067","-54,5621425",18851
RUA QUIRUA,25,35162520,VILA CELESTE,IPATINGA,MG,"-19,4547787","-42,5587569",18853
RUA RIO PARNAIBA,356,59149246,EMAUS,PARNAMIRIM,RN,"-5,8844858","-35,2447789",18854
AVENIDA TIRADENTES,416,86600059,CENTRO,ROLANDIA,PR,"-23,3099554","-51,3677076",18855
RUA RONALDO JOAO,SN,55400000,CANAA,CATENDE,PE,"-8,6607379","-35,7179822",18857
AVENIDA PRESIDENTE VARGAS,SN,15380000,CENTRO,SUZANAPOLIS,SP,"-20,5008108","-51,028004",20249
RUA SETE DE SETEMBRO,1213,89010200,CENTRO,BLUMENAU,SC,"-26,9207","-49,0699168",18860
RUA ORIENTE,642,03016000,BRAS,SAO PAULO,SP,"-23,5379337","-46,6159284",18861
RUA 67,,74000000,S N FERROVIARIO,GOIANIA,GO,"-16,5675078","-49,3737129",18863
AVENIDA DAS AMERICAS,2901,22631002,BARRA DA TIJUCA,RIO DE JANEIRO,RJ,"-23,0011144","-43,3372948",18865
RUA PROMOTOR GABRIEL PEREZ,275,01000000,SANTO AMARO,SAO PAULO,SP,"-23,652948","-46,7029225",18866
RUA NELSON CAVAQUINHOS,76,13054544,DIC V,CAMPINAS,SP,"-22,877794","-47,1433799",18867
